PLAYER_NAME,PER,TS%,USG%,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional,SEASON
Georges Niang,11.4,.595,20.3,0.7,.051,-0.8,-2.3,-3.1,-0.2,niangge01,2024-25
Jakob Poeltl,20.0,.641,18.7,5.5,.158,0.7,1.3,2.0,1.7,poeltja01,2024-25
Scotty Pippen Jr.,15.8,.582,19.3,4.7,.133,0.0,1.8,1.9,1.7,pippesc02,2024-25
Kevin Huerter,11.3,.544,17.5,1.9,.054,-1.8,-0.2,-2.0,0.0,huertke01,2024-25
Kevin Huerter,10.6,.524,17.2,0.8,.044,-2.3,0.0,-2.3,-0.1,huertke01,2024-25
Kevin Huerter,12.0,.566,17.8,1.1,.066,-1.2,-0.3,-1.5,0.1,huertke01,2024-25
Santi Aldama,16.8,.588,18.5,5.0,.144,2.5,0.7,3.2,2.2,aldamsa01,2024-25
A.J. Green,9.2,.621,12.6,2.8,.082,-1.7,-0.4,-2.2,-0.1,greenaj01,2024-25
Al Horford,12.9,.563,13.8,4.4,.129,0.1,1.1,1.2,1.3,horfoal01,2024-25
Terry Rozier,10.5,.497,20.4,1.0,.029,-2.6,-1.0,-3.7,-0.7,roziete01,2024-25
Peyton Watson,11.4,.564,13.9,2.5,.073,-2.1,0.3,-1.8,0.1,watsope01,2024-25
Moses Moody,12.4,.578,17.4,3.5,.102,-0.9,0.0,-0.9,0.5,moodymo01,2024-25
Tristan Da Silva,9.9,.522,15.2,2.5,.073,-2.3,-0.3,-2.6,-0.3,dasiltr01,2024-25
Donte DiVincenzo,14.1,.582,19.4,3.9,.115,0.8,1.1,1.9,1.6,divindo01,2024-25
Isaiah Joe,14.0,.617,17.2,5.1,.153,1.4,-0.1,1.3,1.4,joeis01,2024-25
Corey Kispert,11.0,.584,17.5,1.1,.032,-1.4,-2.2,-3.7,-0.7,kispeco01,2024-25
Caris LeVert,15.2,.582,19.4,4.0,.119,0.8,0.1,0.9,1.2,leverca01,2024-25
Caris LeVert,14.4,.580,18.1,2.3,.124,0.5,0.7,1.2,0.7,leverca01,2024-25
Caris LeVert,16.2,.583,21.2,1.6,.112,1.1,-0.7,0.4,0.4,leverca01,2024-25
Miles McBride,12.6,.531,16.8,3.2,.098,-0.4,0.4,0.0,0.8,mcbrimi01,2024-25
Isaiah Hartenstein,18.9,.599,16.7,6.8,.205,0.6,2.6,3.2,2.1,harteis01,2024-25
Gradey Dick,10.9,.543,21.0,1.4,.042,-1.9,-1.3,-3.2,-0.5,dickgr01,2024-25
Paolo Banchero,20.0,.551,33.6,3.5,.106,3.4,0.2,3.5,2.2,banchpa01,2024-25
Patrick Williams,9.0,.512,16.9,0.4,.012,-3.0,-0.7,-3.7,-0.7,willipa01,2024-25
Obi Toppin,17.4,.642,20.1,4.3,.135,1.8,-0.1,1.7,1.4,toppiob01,2024-25
Grayson Allen,13.7,.631,17.6,2.5,.079,0.7,-1.0,-0.3,0.7,allengr01,2024-25
Sam Hauser,12.8,.632,14.3,4.4,.136,0.9,-0.1,0.8,1.1,hausesa01,2024-25
Ziaire Williams,11.9,.550,18.2,2.1,.065,-2.2,-0.1,-2.3,-0.1,willizi02,2024-25
Gabe Vincent,7.4,.536,13.5,1.3,.039,-3.8,-0.1,-4.0,-0.8,vincega01,2024-25
Victor Wembanyama,24.2,.594,30.4,3.8,.118,3.6,2.9,6.5,3.3,wembavi01,2024-25
Jerami Grant,10.9,.523,19.4,1.8,.057,-1.4,-0.3,-1.6,0.1,grantje01,2024-25
Jonas Valančiūnas,20.8,.602,22.8,4.3,.137,0.8,-0.1,0.6,1.0,valanjo01,2024-25
Jonas Valančiūnas,20.6,.602,23.8,2.3,.112,0.8,-0.5,0.4,0.6,valanjo01,2024-25
Jonas Valančiūnas,21.1,.604,20.9,2.1,.183,0.6,0.5,1.1,0.4,valanjo01,2024-25
Kyle Filipowski,14.9,.594,18.7,2.5,.078,-0.6,-0.3,-1.0,0.4,filipky01,2024-25
Ja Morant,19.3,.563,32.2,3.5,.112,3.1,-0.7,2.4,1.7,moranja01,2024-25
Matas Buzelis,12.5,.571,18.7,1.9,.060,-2.0,-0.5,-2.5,-0.2,buzelma01,2024-25
LaMelo Ball,19.1,.536,35.9,2.0,.065,4.1,-0.9,3.2,2.0,ballla01,2024-25
Dalton Knecht,12.7,.594,18.5,2.7,.086,-0.1,-1.7,-1.8,0.1,knechda01,2024-25
Kevin Porter Jr.,15.4,.531,25.4,2.2,.072,-1.6,0.9,-0.6,0.5,porteke02,2024-25
Kevin Porter Jr.,12.1,.476,25.9,0.2,.011,-3.2,0.7,-2.5,-0.1,porteke02,2024-25
Kevin Porter Jr.,20.2,.616,24.8,2.0,.163,0.9,1.2,2.1,0.6,porteke02,2024-25
D'Angelo Russell,14.0,.522,24.0,1.9,.063,0.0,-0.4,-0.4,0.6,russeda01,2024-25
D'Angelo Russell,13.0,.537,22.1,1.0,.063,-0.7,-1.0,-1.7,0.1,russeda01,2024-25
D'Angelo Russell,15.1,.508,25.9,0.9,.063,0.8,0.2,1.0,0.5,russeda01,2024-25
Lauri Markkanen,15.6,.571,24.0,2.2,.070,1.8,-2.1,-0.3,0.7,markkla01,2024-25
Luke Kennard,13.6,.631,14.5,3.9,.127,0.9,0.2,1.1,1.2,kennalu01,2024-25
Jamal Shead,9.9,.499,18.6,0.8,.027,-3.2,-0.9,-4.1,-0.8,sheadja01,2024-25
Aaron Gordon,17.0,.650,19.0,4.3,.143,2.7,-1.5,1.2,1.2,gordoaa01,2024-25
Isaiah Stewart,14.6,.616,12.4,4.3,.144,-1.6,2.1,0.6,0.9,stewais01,2024-25
Brice Sensabaugh,13.4,.612,21.5,1.2,.042,0.4,-1.6,-1.2,0.3,sensabr01,2024-25
Goga Bitadze,19.2,.631,14.3,5.8,.195,-0.3,2.8,2.5,1.6,bitadgo01,2024-25
Kel'el Ware,17.4,.603,17.2,4.1,.140,-0.7,0.6,-0.1,0.7,wareke01,2024-25
Tari Eason,18.5,.567,19.4,5.0,.169,1.0,2.6,3.6,2.0,easonta01,2024-25
Zach Edey,18.2,.624,16.4,4.9,.165,-0.2,0.1,-0.1,0.7,edeyza01,2024-25
T.J. McConnell,18.4,.547,23.4,3.2,.109,0.6,0.6,1.2,1.2,mccontj01,2024-25
Terance Mann,12.0,.584,14.7,3.0,.101,-1.4,0.0,-1.3,0.2,mannte01,2024-25
Terance Mann,10.5,.533,14.0,1.4,.093,-2.5,1.2,-1.3,0.1,mannte01,2024-25
Terance Mann,13.7,.629,15.4,1.6,.111,-0.1,-1.2,-1.3,0.1,mannte01,2024-25
Ryan Dunn,10.7,.517,16.7,1.0,.034,-2.9,-1.2,-4.1,-0.7,dunnry01,2024-25
Sam Merrill,11.1,.583,14.3,3.3,.113,-0.4,0.7,0.3,0.8,merrisa01,2024-25
Ayo Dosunmu,12.8,.585,16.6,2.5,.087,-1.4,-0.2,-1.6,0.1,dosunay01,2024-25
Ty Jerome,21.0,.643,23.6,5.9,.204,3.5,0.8,4.3,2.2,jeromty01,2024-25
Julian Strawther,9.5,.559,17.8,1.3,.043,-3.1,-1.4,-4.5,-0.9,strawju01,2024-25
Nick Smith Jr.,8.3,.502,20.8,-0.5,-0.019,-3.2,-2.6,-5.7,-1.3,smithni01,2024-25
Jaime Jaquez Jr.,14.3,.543,20.2,2.3,.081,-1.4,0.5,-0.9,0.4,jaqueja01,2024-25
Nicolas Batum,10.3,.633,9.0,3.5,.124,-1.2,2.0,0.8,1.0,batumni01,2024-25
Jose Alvarado,13.4,.523,19.8,1.2,.043,-0.6,-0.8,-1.4,0.2,alvarjo01,2024-25
Jeremy Sochan,15.9,.589,19.0,2.7,.096,-0.8,-0.4,-1.2,0.3,sochaje01,2024-25
